type,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,post11,post12,post13,post14,post15,post16,post17,post18,post19,post20,post21,post22,post23,post24,post25,post26,post27,post28,post29,post30,post31,post32,post33,post34,post35,post36,post37,post38,post39,post40,post41,post42,post43,post44,post45,post46,post47,post48,post49,post50
ESTJ,si te fi ne apparently strong within,,yes also care people friend get really excited thing like politics like passionate talkative maximum extent,si top gear bunch british idiot screwing around car beautiful george carlin sort comedy mel brook sort humour topical without border,lamentation steadfast love lord never cease mercy never come end new every morning great faithfulness,person love mythbusters steven universe adventure time getting west wing netflix really otherwise tv stuck science channel smithsonian channel,football jersey everywhere else football association football new trying got everton jersey arsenal jersey jacket scarf manchester united stuff,,become gentler harsher expectation still wide eyed year old tend think best people le organised,probably ever give shit someone blow joint please apartment think would like smell cannabis may like smell,depends world america apparent probably tend wear stupid expensive clothing daily flaunt wealth power,elitist snob shudder also people deliberately intentionally kill people dream reason amusement,welcome male believe nice see new s joining site well type general lol hope fun,geologist archaeologist historian physicist probably mean long as list,,call independent point really well fitting liberal conservative continuum authoritarian opposite issue people,go church sunday week work well especially early morning kid school parent shopping instead taking child school,known like everyone apparently talked weird kid something like,whichever type diet,founding brother revolutionary generation joseph j elli read chapter day take hour read page good information heavy talking,cross country runner feel much difficult motivate run one way join running club team motivate much,excited bernie sander,read middle school saw movie made book good really interesting understand youth penned e prevent people,jaw first time,toontown rewritten tf still like cog go start lawbot hq need learn engineer thing dang mouse broke vidya game console,sale light marketing experience maybe look company like valve google something gaming industry japanese nintendo namco capcom lot could deal,life liberal bastion within conservative stronghold south carolina parent looking trump like hero candidate go sander please clinton dynasty little,thing stuff internet running hahaha lolno reading soccer punditry banter,taking ap physic help ap language comp apush freshman year ap human sophomore year ap euro ap stat jesus christ course yeah could,thinking homestuck say trigger warning giggling trigger warning sound like something say friend exactly button pressed,champion inspirer inspire u run wild free ne pretty empowering see somebody use tend hold back,affect happens let people wanting marriage sefii asking gay marriage masjid mosque big,love much father get nerve lot hole higher caliber playful hole still,father mother,live life assumption live life assumption help many human possible good people able meet god,number get misdialed lot assume every call misdial get legitimate call get happy,reading video game reading running could call discussion debate reading twice recreational reading scholarly reading sometimes lump,going junior high school three separate ap class ap physic ap u history ap language always higher curve fostered sense,many hour sleep normally get night late generally go sleep midnight wish got le sleep went sleep earlier later,tend let others seem aloof time also nervous socially awkward around sort aspect also fear rejection extent really get idealism,absolutely hilarious troll complex subject like one provides literal show people even know going deadpan humor also,,love s oh delta close enough also thought heart type really good people amazing find good people s,took lot learning hand wanted know something world would read would use internet search generally found history,,xntp,anybody ever beat mr cafebot introducing somebody perc sort programmed account meant automatically welcome anybody perc come intro section,first question part guess based couple test got know far accurate feel like fit prod,mine raising teenage encouraging stand way little doting looking best kind understanding differ many,think noticeable divide gasp hear n lot desire see outcome future live present see future
ESTJ,started born wanted walk pushed learn learnt speak native language process continued guess im rotting,seems fit preach moral time happy living like feel robert greene,universe appear nowhere greater create even big bang made somewhere god creator accident possible,subconcious supposedly responsive voice nothing control talking directly subconcious making deep change,im uk well,people set massive goal class achieving failure sure goal learning look positive improved focus look,metamorphisis product listen see male female specific send detail product person geared towards relationship,feel different per say noticed difference people perceived regard habit several belief changed thing really made difference,sa best regiment best army best country world,kyle grey vibe,,could said support left thing,ironically government started honest one would believe think lie would believe whatever government wanted believe instead,,deny everything pretty simple really,personally happily donate sperm continuation gingered specie,anyway negitives ranted course positive people used ignore suppose used envy learnt stuff made change,problem lot people want thing never anything sorry im bitch ive done anything need phd rocket science im splashing,nah im going quit become obvious lately stuff made notice thing well vibration energy work feel great,nah thats cool dude life goal f king smash glad shattered reality negative belief really create glass ceiling reality,ive known people like thing life suffer,wouldnt say ostracism need isolation thats making sound bit extreme finding others similar mindset devoting time come,relate thing list often gung ho friend never really problem adopting new workout way eating problem,asian breed anyone another asian lowering chance advanced evolution human breed caucasian sure caucasian side,buy physical item oh horror bought john wick today dvd shop please explain hard,wtf man read title though here something im gonna relate read wrote im uk couldnt give rat monkey thomas jefferson start,,dont know im right computer game development im going assumption heard elysianshadows rpg game team behind adventure computer,upto however set unrealistic one able afford wont make anything seriously upto drug choice,know mean wanting mention success im still high end payscale nowhere near live comfortably spent last starting get finance,yeah something value something value upto give free give free would like return,yep experienced lot someone better achieves something seems pattern first call idiot even thinking thing laugh,see response sharing value also stated giving back value eye done person term dont know living wouldnt feel entitled,get good job constantly build new skill make connection responsibility increase pay,oh right thought meant repayment bar let say k year k year year average believe unless work placement thats k plus interest let stick,suppose way people ignored form value though value nothing offer however disagree give take sharing,k year actually checked website let upto date info info sure hearing hearing,agree creating plan overall theme wasnt meant money sorry seemed way anything anything value example trained,exagerating bit trying drive piss poor broke low iq nobody would ever want anything somebody accumulates anything,ok im going zoom thise even know sfe student finance england repayment work im sure thinking american system ive enrolled open university,lol would say built football im football follower although guess id west ham im southerner nothing location,uk seems echo whatever happens america annoying guess part special relationship happens america sure follow uk refugee thats,dunno personally live britain sure traditional still thing country loses tradition another bit land,shahada red morfy bet political pillow talk would rivetting,true west hadnt done someone else would problem west victim success rd world shit hole people chucked spear,double post,ok im add ignore last keep coming back like bad coin anyway im going put simply neither pilgrim quite possibly cant say sure going,dont bother asking enter house take everything food clothes motorcycle kit entire house camp bed move load immigrant sell,earn make money people start want free time people start tell spending collaberate others choosing create,give genuine credit never defended pedophile however guess posted thing original account would obvious
ESTJ,people priority sound like know say enjoy friendship necessarily get invested people always stay friend various reason,haha idea interesting work classic w growing even eightish return childhood would mean even le mindful others,find comparison robot distasteful term used dismiss downright discredit feeling put heart display fe sx approved manner,went something similar long distance move away family friend work know helped speaking someone done thing,pretty busy work personal project graphic design still around,yes,agreed think three control seen mean hand intentionally crafting think eight comparison le hand,going art directing take couple year make full switch decided make anyways regret pursue interesting mbti career,would probably explain always business minded art le art art sake creatively productive large part,talked people people successful career retired early life result career choice born raised low income,pretty oblivious office politics fortunately coworkers immediate director excellent consult whenever need deal politics part getting something,took test reading post pleasure see current career goal line perfectly result artistic enterprising ae probably would helped,vive ridiculously manipulative yes think probably example extremely unhealthy six terrible sense self esteem yeah realize first,receiving end recently observation asking question different way test truthfulness answer looking crack response,since topic seems brought pro weapon group perc question use pepper spray much comfort actually provide tool owned type,think worth examining expectation hoping step towards relationship want able handle non romantic dynamic,left three day business trip trash near full come back packed kitchen reek high heaven rotting food roommate oblivious always,type one people tell need reactive response talk type one sometimes get emotionally neutral positive response passionate,yes especially professional setting unless dislike person point seeing far go realize digging grave,think good way putting maybe underlying piece still part kind anesthesia percent gone even,think become prejudiced tolerant le open people result mbti however better finding way communicate people engage,voicing others said four likely w,believe part w maybe eight thing able disconnect fairly easy default defense mechanism level getting emotionally,care intensity think safe say seek probably byproduct sp first sx last four friend sx first intensity find,second others said want strive assertive aggressive aggressive create new series problem,eight answer always seem aggressive five answer introverted,everyone ever asked say none enneagram type sound like know pick type so friend family come,legit forgot long time member,biggest thing show personally responsible actively charge duty organized step ahead time manage keep track,think going try go back school design want career want one best field need lay financial plan though make work,work digital marketing pay bill social life major marketing fell realized original major bleak job outlook,thank telling figured others mean pedantic find frustrating exactly intuitives creative visionary talk,case said get forum stop reading mbti personality system toxic become verything personality system supposed,sound incredible would go heartbeat also offer drive whole thing thing much driving,goofy practical artistic warm friendly optimistic always running late energetic prefer working people drive fast like stay home,would rather awake asleep sleeping pleasant often feel like interruption interesting task,understand said passively established boundary set parallel play style interaction viewed le mature act actively setting boundary,chad tsi walking stage described crawling stage,oh see based wrote thought considered specific stage development one considered either precurser stage end goal aware,considered better developmental standpoint neither significantly better worse practice long miscommunicated expectation,say ever desire idea someone world incredibly uncomfortable undermines freedom autonomy era independence make dependent,education english currently marketing looking move graphic design eventually art directing bit concerned intial pay graphic design woud,personally care math activity oriented towards art,really break still talking people though,subforum,best part week guy designing movie poster paying well good client great work damn lucky,look like get feel statistically special change nice mod contact shoulder chip,sx much concerning pls send help,originally typed accurately period eight viewed black swan occurrence ended switching type eventually finding way back eight,somewhat confused saying seems want people stand think much giving return intended slight
ESTJ,stereotyping help sorry help really,well said right money,well funny someone shape simple look really attractive used shape know one make shape lifestyle,idea type currently take mbti test figure way know try guess personality test based jung briggs myers,guy every word spot feel sex wonder whether best sex type s simply s speak guy spent,say much le practical lot dream land came day day activity dealt whereas become,person several year recently become borderline developing must say post unusually thorough accurate good job,great topic past two year slowly developed,one cannot discus topic without regard law,matter time philosophical conundrum enters thread prurience love triumph find love passion whatever source triumph religious bind,angelictroublemaker would started proud tongue,happen let query correlation making sexual tendency enneagram type well enough versed enneagram know even correlation,think way talk quite attractive stop good forum must behave um hello,offense kind talk turn faster seeing john mccain naked hula hoop wait actually bad said,look interesting way totally agree see girl attractive physically mentally think something,gosh exact problem hot girl speak like idiot curse tell much wasted potential,honestly disciplined enough go quite without sex love respect girl personally think waiting marriage going hitting time week,angelictroublemaker thank much response,little pushy little sentimental talking girl right get mushy mushy dependent need space enjoy,bro ahahahaha hahaha haha ah whew great,sheisstellar one cannot take criticism one dish wise saying judge least harshly judge others lol like one ever rare people,think blunt criticism wonderful thing many time citizen people family member group member etc unable attain point wisdom happiness effectiveness,yet meet someone made get defensive work trying achieve typically comfortable self understand one going see thing,drink twinings irish scottish breakfast tea every morning volumetric cup often think society irrevocably destroying read every day,funny quite backwards despise people low self esteem reason person responsible alone feel,funny quite backwards despise people low self esteem reason person responsible alone feel,good point like people know believe proclaim conviction even defend ah life sa weet,hate one tell wrong forum see s break fact revel sorry actually complaining simply,hahaha pretty good literally laughed loud one creating whirlwind jerked head direction coffee shop good job way totally agree,woo,hi studying chemical engineering english thought option right undergrad join peace corp ngo development find technical,problem one favorite s get awesome finding nearly impossible oh way,pet peeve mind refuse overlook come person disregard developing writing skill disregard developing speaking skill,quite agree premise morality try answer hypothetical question best say reason tell grandmother bought textbook,fortitude fortuity,girl pretty rare huh like rarest combination personality trait gender rarer one saw statistic forgot found,let apologize arrogant immature posted dashboard hula dancer sorry taking post seriously rude seemingly sexist trying,great post daithi think negative interesting complex thank sharing,high heel,msbossypants living whatever uh think something wrong need help,ha totally tell interesting,seemed completely butchered first attempt producing adequate photo porn picture rather small something never looked upon highly porn industry,oh yea last one well like writing fountain pen,meet tony stark fictional hero emma watson fictional girlfriend,great stuff thanks guy,web site advertises perc app iphone tell crazy exist must something misunderstanding advertisement thought clear,reading book morning thought part apt share people kamala like falling leaf blow turn air stagger tumble ground,ever watched iron lady know scene blow guy made typo basically harassed showed mercy completely line right point,op may ask find interesting,wondering approach actually saying like like opposed staying seemingly understood accepted official long pull cuddle move
ESTJ,hitler u mind trolling calling hitler trolling stirring muddy water,dont think said believe said comical way love yr idealism need co u people unlike afraid yr feeling u seem problem,wouldnt need u idealist back could stand neeeed uuuuuuuuuuu idelists co soooo pragmatic logical suspicion,thanks would good idea anyone outside greece cared one greek imigrants care co victim also greek victim,say anything fruit lady broken greek broken accent racism recently another murder pakistani young man racist party,u well whining one thing u said true roll garbage ill smell one ill take advice rest u said crap co accused u whining,everybody wrote latest two post told u serous thing happening greece racism nobody responded instead u talking crap u talk,see explained uuu nice guy happened today told uuu felt constructive way dealing pain think,love uuu people need uuu life see around harshness especially racism live greece semi greek hurt every time speak co,thanks mean take yr reply nice gesture blahblahing,u saying u bad day problem curled embron position helped u feel better maybe co u released yr system cortisole hormone made u,thank uuu nice said u rest pathetic ill tell u u problem obvious co u cry u human brain mean u,u pathetic something pragmatic change yr situation dont sit cry u adult u,well yes stop arguing company people love happy unfortunately alone lonely miserable u sorry writing without,preach read profile saw love drink bear sleep hand drink alcohol smoke eat healthy diet conclusion,would appreciate message write many time till believed internet site blog member united well still believe,somebody said would logical first thought writer meant way mean use word logical ie think something logical realized,sorry guy warned warning crude harsh yr nice kiss ill try best please ask put capital slow fast,look acey dont understand yr idealistic language please tell simple logical word u ill try interpret yr message u said,realized u man seeing yr picture think understand u would secretly love logical manly man feeling type man ok feeling man,thanks u nice kinda new didnt know people u ill tell u bumped u know decided done many personality test,hey guy dont know tell u bumped thread ill tell u intruder co proud arogant u going,thank u thinker swallowing pride know thres point go detail become like sure hardly anyone get born bad dont know,look stand alones picture armour thats meant iron pal anyway see milder tone u orr maybe u didnt read myy answer yr previous post whatever case,leave alone engliksh leave alone thought comosition neither anything issue escape u co u feeling u keep yr iron pal,people incompetent none s soyr wife bos right thinking incompetent store successfull co dont like showing seh,everybody else proven result s best everybody else messing finally mess le thats pillar let mess jam world,thought process oh yes u need telling ting done so wht matter methid result there better reslult tell thing doen,laly u right fact experst call u gurdians pillar society say doesnt ill anonymously real life pay price,btw found taht daughter inn law inspirer inspires son wark hard without helpin much btw u find info personalyty type,see wrote much without saying qustion s make u people ideal relationship theiry name couple,supposed theory best possible solution raltionship whish dual lived yr alcoholic late husband conflicted,please give yr opinion yr experience u please dont give analysis co know general co know taht instead give,wicked queen u wanted know areally read teh whole stereotype thread thee found s many type almost said,experience advice mellow,u acting like site authority insult u u insulted u know answer question ok stop insulting telling withdraw,im sorry illegible want know anyone know something experience generall knowledge mother son relationship mother law,rexy couldnt write directly u sent messge u drake person may send u victoriacaptain yahoo co uk srite address ill,p world want argument dream easy among yr buddy get tell u dream work,late sister loved opera singer verdi nabuko cried listening sister cheat husband doesnt like co,finally troll rant,dont remember insulting anyone latest post instead gto yr well deserved inults english speaking site im well aware truth im write better think u,liked look teh guy giving point dont believe god rational people dont co god delusion belongs feeling definition dont feel except read yr,exlplained bad english spelling u seem think whole world english well chinese speaking fok uuu growing larger day day,p none u even tried think co u guy dont think fo stand appologize u didnt insult back true gnetle nice person thanks,ill try write little better one u didnt understand im native speaking u using yr brain thats u didnt understand co u using,cant leave u alone co u dont leave u alone dont marry u please marry inbetween yrslvs dont child co ull die hungar singing yr song working u,first ill answer one see closed saying itll close coward report case ill use drastic measure co im shedragon,im make u enemy lived alsoholic husband im sick u co s pillar society science say andon site,question since hcant see post post reply im thinker sens extrovert judge critic bothe myslef rest world
ESTJ,also unable access blog receive message attempt check fatal error class vb ckeditor found home personal public html blog php line,episode came last week episode saturday morning est figure time difference math tired,recently came across wanted share,life size rainbow dash one grand last time looked,equestriadaily put link little go live,getting early watch streaming live bronies,pinkie taokaka epic win,many place online find brony shirt kind look though alternately attend anime convention larger one tend pony merch,congrats,uhhhhhhhhh wat,thanks everybody,lol probably right xd really feel comfortable posting anywhere else read everything,wearing,seriously rule already take long lol,bronycon attending screening second episode u,jealous get watch next week episode jason thiesson right room tawanda exactly never read cupcake like pinkie,psh virginia pony important,blast morning watching episode streaming live online talking bronies going think gonna happen next week,anybody going bronycon posted question pony thread hate,going bronycon,cannot watch anything realistic violence harm done body watch surgical procedure watch violent movie gore disturbs cannot handle make,already working xd,cant remember posted yet thought appropriate,really troll bronies pony sir trolled,read loud fantastic time going repost onto facebook page test friend,welcome perc,thread already exists,love important enough thread,eat time good xd toast hummus greek yoghurt onion cucumber red pepper tomato,homemade sesame noodle made tofu shirataki,kielbasa red pepper caramelized onion,personally offended clear fairly obvious anything taken extreme cease good quality know association still,find little offensive title start judging unstable associate two type entire post picking fault,read much behaviour nothing personality type tell personally view serving staff traffic law,lirulin seen sort reaction others tend get sort reaction people interact people make cutesy voice decide whether,welcome forum white coffee never heard,take offensively trouble meaning get lost text vocal nuance context clue grammar language general one area,excuse sure saying post please explain,idea type test take say pretty much people interact line typed n overreacting something scary,fangirl fool thinking hidden part going find breaking exterior tend expect people present,friend mine cosplaying gijinka pony convention july,ha almost put amy avatar would prefer female male annoyed went one picked instead,studying mostly past nine year hardest part japanese learning kanji kana everything else fairly simple,sushi sake nigiri maguro nigiri unagi nigiri new york roll yellowtail scallion roll,brony change avatar follow sort trend forum said one hedgehog avatar used perhaps shall participate,pet hedgehog name nettie tiggywinkle however participating avatar stuff scare,huge nerd geek though still personality type video game tabletop rpg magic gathering anime mmo message board yes consider place like perc nerdy,light bread roasted red pepper hummus sliced red pepper cucumber onion tomato,pad thai,jelly umad trololol
ESTJ,curious mean well dressed wear professional clothing work anything like better broken pair blue jean,agree sittingwonderduck sure one creative talent really creative enjoy landscape photography make happy look mountain take,well definitively say neat freak however set way certain thing need shower curtain closed toilet seat cover etc etc usually clean,agree tend show love saying believe action better mere word instance two niece love dearly would literally,love risk one favorite game unfortunately none friend play anymore something something bloodthirsty,love strategize plan think way get point point b love organizing people moving direction think go pretty much life like risk,well need help say appreciate actually getting help ask want help appreciate fend repeated attempt help mostly,probably laundry need get car washed really want new car lengthy internal debate buying new car proceeded probably eat rest,think absolutely true completely non religious strong unwavering imagine sense right wrong rarely see reason compromise,would add wickedqueen response fact multi year relationship mean may need way think want,get irritable tired take great willpower bite people head literally figuratively tired try around people happens,suppose depends definition creative draw write attorney take little piece story weave together something bigger love,think oversimplification respect nothing authoritarian respect people knowledgeable capable worked get life,first yes driven need something constantly need done done schedule feel need done whole,rediscovered site lol term conflict another person depends relationship person involved know know care,failure signifies wasted time signifies succeed something set accomplish,exactly know many people count one hand finger left people consider close friend,best friend much introverted feeling bump never second guess thinking feeling made dinner,wonder western culture slow shift towards gender equality raise number female even though testing standardized would think socialization effect,well say employee would fire without apology regret might add,ah checked thread make sense make relax,mine like lead follow get way,agree watching baseball game tv lesser experience huge fan get actually game bear really lol,play sport love weightlift however said huge fan football hockey minnesota viking wild respectively sadly viking forever,yes touch oriented person always touching friend family whether hug pat back good friend referred shoulder bump,weighing even starting argument person regardless personality type figure winning really mean getting agree,christian borderline atheist definitely anti religion religion massive excuse used million excuse inexcusable e g witch burning crusade,bachelor political science criminal justice study j juris doctorate super fantastic law degree doctorate comparable master degree,hated word phrase um ah like well think verbal filler saw want say leave,wheeeeee lol next step ruler world,laikta funny say first thing popped mind flame,think two big thing look others think offer honesty loyalty third part look someone accepting know,agree mom laikta mind made plan action determined full speed ahead getting point deciding yes going,missing something point exactly,well mine said auditory visual kinesthetic tied personally though think visual learner auditory learner comprehend read letter,loyal,marlowe position give sympathetic hug shoulder pat etc depending touchy feely person well know tell sorry,hello name kate screen name kjo attorney prosecute criminal case represent labor union member give forum bos mwahahaha spare,really rule breaker mostly think rule reason followed changed become obviously wrong unless said rule speed limit,strong w sx variant,reason human right must protected also need job feed way get job without good schooling,hey old seriously turned whimper whimper,mooseandsquirrel great wing girl wink,thank fit,bstew arguing whether ethic question frankly irrelevant said reply right right wrong wrong executing person crime,accused fixer lol,hmm let see shirt arranged first business casual shirt pant skirt shirt sleeve length color within sleeve length pant skirt,sorry double post,excellent illustration difference type right right wrong wrong whole every fiber business impact analysis precisely zero,purplefang argument space really agree everything marlowe posted right money experience another consideration get
ESTJ,matter romance come individual type already made decision theorizing specialty make decision,kind impractical v practical theory talking,sex first talk later,philosophy bored busy life sometimes thing arise time think,information gathering gauging response others wondering vixin even point ball court vixin,dually noted,suppose one way looking rather hear vixin say matter,guess question confirmed topic creator new account usual s strike active relationship inter lonely word however notice s,want rewritten may bold,process science hard go back would imply action v idle think,know everything get put hold chase,hmm getting spring cleaning done xd,busy busy busy gonna mow lawn clean car clean bathroom clean kitchen clean dish nyaoh,people controlled really saying s prey weak gullible disagree,really depends negotiating degree risk transferring asset whose interest look,may interject lady looking committed dancing moonlight stallion awaits,time child making decision adult life one political stance though obama stupid,appears intertwinement neural level opinion uncertainty mesh together people rather single cognition one person transmission series,odd noticed dynamic s time least regard interpersonal know applies s assumption,topic title let see social affectionate s single,cocky wolf grin needed disrupt passive aggressive behavior,people break loyalty come back later make demand,glad worked anything,assuming course increased bloodflow dick stare woman clearly make excellent dating different part brain light,scheming outwitting others certainly,think s many different facet allow make progress whether see opportunity take,good going bed make as gone,done going tangent,cleo leaking,wish understand mean calculate ruthless accuracy scheming machine welcome aboard brother battle awaits however must first,claim power dominance also use rapport assertiveness considered key trait relationship however also claim power dominance assume,take hand walk valley shadow,cleo keep wing turn black,cleo love need learn walk away,mean conflict,sorry response caught completely guard want make reference brief hard,hey cleo wanna go date later,stand excellent schemer perfection,deep breath let see big sonic satam sonic hedgehog sega genesis archie version sonic hedgehog know fleetway also made version uk,topic stupid,asshole boyfriend stink find flower date,made cry dump sorry as,give following case scenario dress nice many pant shirt shoe year care made look like douche loser,s form core value engaging life s live life value core value come important,cleo made friend list,sarcasm look like,flawed,let little secret society word people want called selfish loser joined bandwagon holding value,mentioned blog user typing different type duality would different type see might unique,simple question deal rage found four activity body building running car max rpm mph horror movie late looking martial art dancing
ESTJ,classy daleks hanging pifanjr pretty classy hanging opossum pretty classy,,wait country case place ethnicity live shocked french moroccan native american confused better propose alliance,kiss marry bed pas others p,ship person married,pifanjr daleks,awwwww probably going climb get suggest thick glove animal carrier even domesticated probably scared large thick glove,hollowen let go biggest fear go spider husband go something made quite perfect almost nooooooooo anyone else,relate anne green gable always kind seen,well married dork showed loved article love someone v caring platonically p never redpill say find,yes started recently p,necessarily lloyd dobler jeffrey dahmer window meaning two people thing exact way based opinion either llyod dobler,played wow week decided free trial whim allows become level bought subscription week level,playing long hooked anyone else play buddy,world warcraft,never claimed reason p,wrong,hmm adhd autism legitimately diagnosed laughing,,angry mom accidentally text year old guy instead daughter thing escalate quickly,bored panda,laughing,took game throne house quiz got house baelish last time also tested slytherin age ago pottermore think hold,,sext video,sometimes dangerous p,included poll met glow dark,know going mom debating whether vacinate child see know prevent losing life think cause autism aware,never listened rule thing worked ok want xd,clearly implied,wanna come bill clinton impeachment party super fun,oh hey w,taking quick look profile discovered enjoy reading swimming walking psychology mysticism creating fractal star trek online lecture work,realize,w,w,w,w,w,intention hmm seems fun really care actually offended anyone would ridiculous reason offended especially said messing people,technically true actually let go tongue,need help convince pifanjr let name spawn nyarlathotep laughing,s good music,kid seriously weird idea want one hormone body like ok one cognitively like stupid,w w w,w w w obviously alien known celestial toymaker,w w w,w w w,w w w,since anyway tongue always loved quote ever love horrible make vulnerable open chest open heart
ESTJ,w identify completely,like responsible intelligent commanding presence competence assertive adventurous spirit zest life learning annoy doormat whiner martyr drug addict people,cast interesting perspective situation thought pain opening someone long brick wall around heart truly ever,sygma trying get never encountered someone would another person feel like something broken inside long time ever,thank kind word found recently lie even sick,right lie,recently found completely lied ex sick spoken met people know family never met anyone would fabricate lie thank,recently relationship thought amazing everything great obviously wrong ended relationship story made look like,w,think devoid emotion read post care deeply fall apart sob weep happen often happen,wow direct appreciate may ask elaborate thought process driving answer want wrap head around need understand,put box walk away destroying wreck absolutely devastated texted twice week say thinking replied say thanks,honesty month still new fresh relationship sure going handle pull away know sent text last week,pondered day read book countless time child absolutely appreciate reference book thank insightful post,felt like casualty cancer good friend pointed admirer amazing man truly experienced exceptionally stressful event life,thank asking devastated wreck usually capable keeping emotion control right usually rock right,dating wonderful man month found exwife mother child breast cancer married year divorced little le year never,favorite subject always science also love history loathe english really fast practical math almost like calculator brain advanced math difficult,right sometimes especially someone living think full potential consciously work man accomplished career,l,would never trick someone curious find really drive find enjoyable common ground,met wonderful week went lunch immediately started spirited conversation talked minute straight never even ordered food left,second tried lost mind,people experience child pretty much business everyone else,real life love genuine hug someone care forum think virtual hug stupid see absolutely point opinion,beginning would fun real life come play would getting thing done facing hard reality life would work job solve,talked last week conversation lasted hour finally end asked finally able tell truth abandoned difficult time,trying muster strength day talk situation think going put letter frustrated decisive,think month sound reasonable sweet touch buy favorite snack,would never go counseling thx suggestion though firm believer benefit therapy,child together ex husband life state evaluating situation set clear selfish boundary expectation time,intelligent master degree good career life home life complicated year guess part trying maintain much stability,female involved year lived together working understand thing way frustrates,one son lot quality admire great deal respect,thanks pick brain interacting male feel like serious hard conversation fall apart barely formulate sentence call sick,lol tattoo never thanks welcome,love chat saw post another minute ago asked serious yes serious driven focued goal oriented concerned right thing,come decision done,child joke russian czar seen cry handful time fiercely protective life thrown lot adversity put place,ask directly prepared truthful answer appreciate people get right point waste time calm chaotic stressful situation would want,never met sorry help,interesting always gotten along better guy well think identify male stereotype protector provider independent study see find,agree action mean everything,like people intelligent strong love alpha,year relationship summed year frustration post wonderful friend started dating enjoy company friendship level,finally someone understands love forum,name marlene female icu rn year found forum recently realize true regret never joining military going law school,enjoy variety music thanks son top indie rock jazz favorite classical twist like piano guy think sound cello heavenly,female blonde wear hair twist never pony tail hazel eye glass classic elegance ann taylor pearl earings favorite color blue lipstick mascara natural nail,glad hear another woman say something like think descended amazon warrior princess always ready pick shield spear defend weak punish evil
ESTJ,know anyone else willing trust take importance myers brigg statistic declared biased one person official statistic,think enneagram represent spectrum focus individual like place energy security image gut sort like parent handing trait,want able use three energie assertive adaptive withdrawn hence suggest broaden scope see whether fit thinking feeling gut,instinctual variant seen separate connected enneagram like finding basic enneagram type wing best understand preference stacking wanted,precursor really writing unless confused attempt taking responsbility confusion writing reason,forum think people individually bring knowledge socionics mbti keirsey jung discus mbti believe creator using jung work,need draw correlation seeing mbti enneagram gut triad first believe much correlation seen work,perhaps blind nf unawareness think people biggest focus judging racism therefore may determined correctly function,know done million time theory vampire believe wolf vampire exhibit superb primary function meaning special power,believe depends person find people healthy level admit another perspective another healthy person perhaps integrate taking statement,sort subtle process take else fall apart meaning orgasm also failure currently entirely clean whatever mean read,hopeful body would faithfully reflect felt inside better worse find issue become unaware effect example halting breath,think main decision making function internal make type decision start within feel complex need think group,remember question high school entrance exam well somewhat want ended writing wanted one else want,recall high school taking mass amount sugar got home went online world think need feel alive upon waking th emorning matter,taking leadership class carried one least favorite type book step leader hate idea linear process something explain passive,reason sleep regularly though least ineed purpose something consistency like sleep regularly relationship find motivated find,dating think arranged marriage suicide rather hermit wedding ring dress tuxedo person let barf polite,reminds two thing compliment judgement criticism one absolutely relate apologize people complimenting think perhaps need,feel like soul mate done sort like couple sex later night one still urge release masturbates,someone said actually judgmental type although sure correlate laid back type mostly agree feel like explaining lead,believe statistic mbti book motivation assist people career therefore evaluation taken college workplace etc typically,s tend spiritual find interest organized religion furthermore think type trap depends type maybe depends much time spend never,introvert always confused heavy alone time prime interest motivation human used say like human like,remember interested focus care sort like argument emotionally attached think question memorizing may better,comparing enneagram type like think universal truth however see sort trend yet challenging validate think difference,weird saw interaction like wizard give short simple answer spent time trying figure actually,fi apparent see,even removing profile find,past sunday fell bicycle went mound silently detached vehicle flying thing happened remember releasing bike,find vague system well really official enneagram passed like person person opposed anything strictly kept lot people recommend,someone already slammed black jack going put typical answer depends health type whether able identify first thought may point,agree yet still grow alongside mine attraction looking entirely true,yes insane credibility,odd girlfriend value calm apparently bring usually use tone uncomfortable distanced parent taylor,used research personality disorder like would find spiritual path conclusion end really know else understand personality type personality,perhaps could incorporate four function describing past image imagine relates si explained fi associative desire maybe ne imagine world ti,hand note agree think analyzing poem ruin purpose reading book fairy tale child even say share meaning story,agree amanda speaking personally like affect although extraverted feeling one shadow function cannot push hard think,saying wait college high school two different realm whereas high school read focused college n point relating high,sparked something came someone love injured interact long time specifically told best friend one,view undefined category paradox like shaman gender androgynous perhaps coined hermit see trusting aspect people post true,still imagine hope thing work noticed relationship cannot friend romantic side becomes hopeless sound like good,think going find energy heaving spiral think relate probably would shy engage relationship first share,house clothing wear shelter seed inside seed wish root grow nearby world money ideal though totally agree throwing bed,something imagine lot felt ingenuine like masochistically feel natural punch rather take knife cut specific point death,dream died read zombie survival guide thinking maybe could make type team ideal number could keirsey triad sp,wait point brought intuitive insight noticed difference people internal conversation s except one everyone share,relate best friend right broken part leg ever willing dedicate time watch two eye become therapist,opposite civil war general say wait white eye show shooting unlike law attraction try guessing feeling
